,회차,예측일,예측_총판매금액,신뢰구간_하한,신뢰구간_상한
118,1292,2027-09-04,128407440618.99353,108637440095.74942,148177441142.23764
119,1293,2027-09-11,128909039366.542,109021989036.30836,148796089696.77563
120,1294,2027-09-18,127781320498.16153,107777681259.82082,147784959736.50226
121,1295,2027-09-25,129301103039.56789,109181728270.99617,149420477808.13962
122,1296,2027-10-02,128474041528.02414,108239452438.50725,148708630617.54105
123,1297,2027-10-09,128482531795.33936,108133492328.11264,148831571262.56607
124,1298,2027-10-16,128250425709.58388,107787487543.32626,148713363875.8415
125,1299,2027-10-23,128612846699.13014,108036710423.74782,149188982974.51245
126,1300,2027-10-30,128585740960.6636,107896970354.95078,149274511566.37643
127,1301,2027-11-06,128369011836.86899,107568260856.11052,149169762817.62747
128,1302,2027-11-13,128349483372.48326,107437316712.9191,149261650032.04742
129,1303,2027-11-20,128329443999.94745,107306479816.84439,149352408183.0505
130,1304,2027-11-27,127786194966.30363,106652992186.79431,148919397745.81296
131,1305,2027-12-04,127693813473.77815,106450961576.89229,148936665370.66403
132,1306,2027-12-11,127235817498.01897,105883865754.691,148587769241.34692
133,1307,2027-12-18,128273820683.11024,106813334670.52206,149734306695.69843
134,1308,2027-12-25,130658553469.89357,109090070652.18294,152227036287.6042
