,회차,예측일,예측_총판매금액,신뢰구간_하한,신뢰구간_상한
81,1255,2026-12-19,123320573832.11127,99690484136.30084,146950663527.9217
82,1256,2026-12-26,128905615501.77411,105063480130.84138,152747750872.70685
83,1257,2027-01-02,132760911190.3497,108708599599.45404,156813222781.24536
84,1258,2027-01-09,124096995904.52951,99836328902.34445,148357662906.71457
85,1259,2027-01-16,125780518519.63525,101313270273.52556,150247766765.74493
86,1260,2027-01-23,133093796556.66615,108421696705.16928,157765896408.16302
87,1261,2027-01-30,130293035516.16313,105417771011.93265,155168300020.39362
88,1262,2027-02-06,130816650749.22504,105739867522.50238,155893433975.9477
89,1263,2027-02-13,132396216873.08264,107119521472.47505,157672912273.69025
90,1264,2027-02-20,130416491465.69186,104941452628.06485,155891530303.31888
91,1265,2027-02-27,131070048643.5368,105398198749.83629,156741898537.2373
92,1266,2027-03-06,128586670475.92223,102719506925.0469,154453834026.79755
93,1267,2027-03-13,130112924299.91689,104051910822.79198,156173937777.04178
94,1268,2027-03-20,128757225578.93118,102503793484.72533,155010657673.13702
95,1269,2027-03-27,126271971889.20105,99827521243.29793,152716422535.10416
96,1270,2027-04-03,125306105838.8476,98672006582.19958,151940205095.4956
97,1271,2027-04-10,126931851578.06326,100109444592.97742,153754258563.1491
98,1272,2027-04-17,125405032046.05966,98395630169.51895,152414433922.60037
99,1273,2027-04-24,126938546186.74403,99743435174.29199,154133657199.19608
100,1274,2027-05-01,125333232721.87746,97953672165.99084,152712793277.76407
101,1275,2027-05-08,123865166304.22089,96302390509.891,151427942098.55075
102,1276,2027-05-15,126331163343.2664,98586382162.9744,154075944523.5584
103,1277,2027-05-22,126972152858.86679,99046552489.38927,154897753228.3443
104,1278,2027-05-29,126450459123.89597,97681051234.13367,155219867013.65826
105,1279,2027-06-05,124811735333.9656,95713434928.15231,153910035739.7789
106,1280,2027-06-12,124652476237.61542,95231061742.85876,154073890732.37207
107,1281,2027-06-19,122885844228.77931,93087689426.31839,152683999031.24023
108,1282,2027-06-26,123760994629.8646,93539204298.43463,153982784961.29456
109,1283,2027-07-03,123470872159.13957,92893136272.46284,154048608045.81628
110,1284,2027-07-10,122476322465.30202,91541722583.0061,153410922347.59793
111,1285,2027-07-17,122718043300.79013,91417117118.76599,154018969482.81427
112,1286,2027-07-24,122080895008.76263,90416339679.74226,153745450337.78302
113,1287,2027-07-31,121020049281.96614,89004366295.06885,153035732268.86343
114,1288,2027-08-07,121969731842.52795,89604720180.77635,154334743504.27954
115,1289,2027-08-14,123719753186.64711,91006994464.74506,156432511908.54916
116,1290,2027-08-21,124264680112.12701,91208408031.87607,157320952192.37796
